"","TaxonUsageID","LETTERCODE","SHORTNAME","TaxonName","NATIVENAME","AuthorName","SYNONYM","TaxonConceptID"
"3",3,"ABUTMAU","Abutilon mauritianum","Abutilon mauritianum",NA,"(Jacq.) Medik.",FALSE,3
"50361",50361,"ABUTMAU","Pavonia patens","Pavonia patens",NA,"(Andrews) Chiov.",TRUE,3
"4",4,"ACACDRE","Acacia drepanolobium","Acacia drepanolobium",NA,"Harms ex Y. Sjˆstedt",FALSE,4
"5",5,"ACACELA","Acacia elatior","Acacia elatior",NA,"Brenan",FALSE,5
"8",8,"ACACMEL","Acacia mellifera","Acacia mellifera",NA,"(Vahl) Benth.",FALSE,8
"9",9,"ACACPOL","Acacia polyacantha","Acacia polyacantha",NA,"Willd.",FALSE,9
"10",10,"ACACREF","Acacia reficiens","Acacia reficiens",NA,"Wawra",FALSE,10
"11",11,"ACACSEY","Acacia seyal","Acacia seyal",NA,"Delile",FALSE,11
"12",12,"ACAC.SP","Acacia species","Acacia species",NA,"NA",FALSE,12
"13",13,"ACACTOR","Acacia tortilis","Acacia tortilis",NA,"(Forssk.) Hayne",FALSE,13
"14",14,"ACALFRU","Acalypha fruticosa","Acalypha fruticosa",NA,"Forssk.",FALSE,14
"16",16,"ACANHIS","Acanthospermum hispidu","Acanthospermum hispidum",NA,"DC.",FALSE,16
"17",17,"ACANEMI","Acanthus eminens","Acanthus eminens",NA,"C.B. Clarke",FALSE,17
"18",18,"ACHYASP","Achyranthes aspera","Achyranthes aspera",NA,"L.",FALSE,18
"20",20,"ACMECAU","Acmella caulirhiza","Acmella caulirhiza",NA,"Delile",FALSE,20
"50001",50001,"ACMECAU","Spilanthes mauritiana","Spilanthes mauritiana",NA,"(A. Rich. ex Pers.) DC.",TRUE,20
"22",22,"AESCSCH","Aeschynomene schimperi","Aeschynomene schimperi",NA,"Hochst. ex A. Rich.",FALSE,22
"25",25,"AGERCON","Ageratum conyzoides","Ageratum conyzoides",NA,"L.",FALSE,25
"26",26,"AJUGREM","Ajuga remota","Ajuga remota",NA,"Benth.",FALSE,26
"33",33,"ALTEPUN","Alternanthera pungens","Alternanthera pungens",NA,"Kunth",FALSE,33
"36",36,"AMARGRA","Amaranthus graecizans","Amaranthus graecizans",NA,"L.",FALSE,36
"55",55,"ASPAAFR","Asparagus africanus","Asparagus africanus",NA,"Lam.",FALSE,55
"56",56,"ASPA.SP","Asparagus species","Asparagus species",NA,"NA",FALSE,56
"57",57,"ASPIMOS","Aspilia mossambicensis","Aspilia mossambicensis",NA,"(Oliv.) Wild",FALSE,57
"59",59,"ASYSGAN","Asystasia gangetica","Asystasia gangetica",NA,"(L.) T. Anderson",FALSE,59
"60",60,"ASYSMYS","Asystasia mysurensis","Asystasia mysurensis",NA,"(Roth) T. Anderson",FALSE,60
"50007",50007,"ASYSMYS","Asystasia schimperi","Asystasia schimperi",NA,"T. Anderson",TRUE,60
"64",64,"BALAAEG","Balanites aegyptiaca","Balanites aegyptiaca",NA,"(L.) Delile",FALSE,64
"65",65,"BARLERA","Barleria eranthemoides","Barleria eranthemoides",NA,"R. Br. ex C.B. Clarke",FALSE,65
"66",66,"BARL.SP","Barleria species","Barleria species",NA,"NA",FALSE,66
"68",68,"BASEALB","Basella alba","Basella alba",NA,"L.",FALSE,68
"71",71,"BIDEBIT","Bidens biternata","Bidens biternata",NA,"(Lour.) Merr. & Sherff",FALSE,71
"72",72,"BIDEPIL","Bidens pilosa","Bidens pilosa",NA,"L.",FALSE,72
"76",76,"BOERDIF","Boerhavia diffusa","Boerhavia diffusa",NA,"L.",FALSE,76
"85",85,"BRIDMIC","Bridelia micrantha","Bridelia micrantha",NA,"(Hochst.) Baill.",FALSE,85
"89",89,"CAESDEC","Caesalpinia decapetala","Caesalpinia decapetala",NA,"(Roth) Alston",FALSE,89
"96",96,"CARE.SP","Carex species","Carex species",NA,"NA",FALSE,96
"98",98,"CASSDID","Cassia didymobotrya","Cassia didymobotrya",NA,"Fresen.",FALSE,98
"50545",50545,"CASSDID","Senna didymobotrya","Senna didymobotrya",NA,"(Fresen.) H.S. Irwin & Barneby",TRUE,98
"110",110,"CENTASI","Centella asiatica","Centella asiatica",NA,"(L.) Urb.",FALSE,110
"52140",52140,"CENTASI","Hydrocotyle asiatica","Hydrocotyle asiatica",NA,"L.",TRUE,110
"113",113,"CHEIVIR","Cheilanthes viridis","Cheilanthes viridis",NA,"(Forssk.) Sw.",FALSE,113
"50011",50011,"CHEIVIR","Pellaea viridis","Pellaea viridis",NA,"(Forssk.) Prantl",TRUE,113
"114",114,"CHENALB","Chenopodium album","Chenopodium album",NA,"L.",FALSE,114
"117",117,"CHENOPU","Chenopodium opulifoliu","Chenopodium opulifolium",NA,"Schrad. ex W.D.J. Koch & Ziz",FALSE,117
"119",119,"CHLOGAY","Chloris gayana","Chloris gayana",NA,"Kunth",FALSE,119
"122",122,"CHLOROX","Chloris roxburghiana","Chloris roxburghiana",NA,"Schult.",FALSE,122
"125",125,"CISSMUC","Cissampelos mucronata","Cissampelos mucronata",NA,"A. Rich.",FALSE,125
"126",126,"CISSPAR","Cissampelos pareira","Cissampelos pareira",NA,"L.",FALSE,126
"127",127,"CISSROT","Cissus rotundifolia","Cissus rotundifolia",NA,"(Forssk.) Vahl",FALSE,127
"130",130,"CLEMBRA","Clematis brachiata","Clematis brachiata",NA,"Thunb.",FALSE,130
"132",132,"CLEOMON","Cleome monophylla","Cleome monophylla",NA,"L.",FALSE,132
"133",133,"CLEOPAR","Cleome parvipetala","Cleome parvipetala",NA,"R.A. Graham",FALSE,133
"134",134,"CLEOSCH","Cleome schimperi","Cleome schimperi",NA,"Pax",FALSE,134
