Table number,Releve number,COUNTRY,REFERENCE,deg_lon,deg_lat
1,358,KE,5,36.8167,2.1833
2,359,KE,5,36.8167,2.1833
3,360,KE,5,36.8167,2.1833
4,361,KE,5,36.8167,2.1833
5,362,KE,5,36.8167,2.1833
6,363,KE,5,36.8167,2.1833
7,364,KE,5,36.8167,2.1833
8,365,KE,5,36.8167,2.1833
9,366,KE,5,36.8167,2.1833
10,367,KE,5,36.8167,2.1833
11,368,KE,5,36.8167,2.1833
12,369,KE,5,36.8167,2.1833
13,370,KE,5,36.8167,2.1833
14,371,KE,5,36.8167,2.1833
15,372,KE,5,36.8167,2.1833
16,373,KE,5,36.8167,2.1833
17,374,KE,5,36.8167,2.1833
18,375,KE,5,36.8167,2.1833
19,376,KE,5,36.8167,2.1833
20,377,KE,5,36.8167,2.1833
21,378,KE,5,36.8167,2.1833
22,379,KE,5,36.8167,2.1833
23,380,KE,5,36.8167,2.1833
24,381,KE,5,36.8167,2.1833
25,382,KE,5,36.8167,2.1833
26,383,KE,5,36.8167,2.1833
27,384,KE,5,36.8167,2.1833
28,385,KE,5,36.8167,2.1833
29,386,KE,5,36.8167,2.1833
30,387,KE,5,36.8167,2.1833
31,388,KE,5,36.8167,2.1833
32,389,KE,5,36.8167,2.1833
33,390,KE,5,36.8167,2.1833
34,391,KE,5,36.8167,2.1833
35,392,KE,5,36.8167,2.1833
36,393,KE,5,36.8167,2.1833
37,394,KE,5,36.8167,2.1833
38,395,KE,5,36.8167,2.1833
39,396,KE,5,36.8167,2.1833
40,397,KE,5,36.8167,2.1833
41,398,KE,5,36.8167,2.1833
42,399,KE,5,36.8167,2.1833
43,400,KE,5,36.8167,2.1833
44,401,KE,5,36.8167,2.1833
45,402,KE,5,36.8167,2.1833
46,403,KE,5,36.8167,2.1833
47,404,KE,5,36.8167,2.1833
48,405,KE,5,36.8167,2.1833
49,406,KE,5,37.9653,2.3213
50,407,KE,5,37.9653,2.3213
51,408,KE,5,37.9653,2.3213
52,409,KE,5,37.9653,2.3213
53,410,KE,5,37.9653,2.3213
54,411,KE,5,37.9653,2.3213
55,412,KE,5,37.9653,2.3213
56,413,KE,5,37.9653,2.3213
57,414,KE,5,37.9653,2.3213
58,415,KE,5,37.9653,2.3213
59,416,KE,5,37.9653,2.3213
60,417,KE,5,37.9653,2.3213
61,418,KE,5,37.9653,2.3213
62,419,KE,5,37.9653,2.3213
63,420,KE,5,37.3683,0.9606
64,421,KE,5,37.3683,0.9606
65,422,KE,5,37.3683,0.9606
66,423,KE,5,37.3683,0.9606
67,424,KE,5,37.3683,0.9606
68,425,KE,5,37.3683,0.9606
69,426,KE,5,37.3683,0.9606
70,427,KE,5,37.3683,0.9606
71,428,KE,5,37.3683,0.9606
72,429,KE,5,37.3683,0.9606
73,430,KE,5,37.3683,0.9606
74,431,KE,5,37.3683,0.9606
75,432,KE,5,37.3683,0.9606
76,433,KE,5,37.3683,0.9606
77,434,KE,5,37.3683,0.9606
78,435,KE,5,37.3683,0.9606
79,436,KE,5,37.3683,0.9606
80,437,KE,5,37.3683,0.9606
81,438,KE,5,37.3683,0.9606
82,439,KE,5,37.3683,0.9606
83,440,KE,5,37.3683,0.9606
84,441,KE,5,37.3683,0.9606
85,442,KE,5,37.3683,0.9606
86,443,KE,5,37.3683,0.9606
