"RELEVE_NR","Country","Altitude (m)","DEG_LON","DEG_LAT","GESELLSCH","dataset","Ecoreg","Dunes_Bohn","Coast_EEA"
1,"Germany",1,9.26,53.9,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
2,"Germany",1,7.1,53.5,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
3,"Germany",1,9.4,53.84,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
4,"Germany",1,7.34,53.33,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
5,"Germany",1,8.5,53.91,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
6,"Germany",1,10.51,52.21,"Lemnetum gibbae","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
7,"Germany",1,8.9,53.81,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
8,"Germany",1,9,53.82,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
9,"Germany",1,8.9,53.81,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
10,"Germany",1,8.52,52.67,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
11,"Germany",1,8.13,53.45,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
12,"Germany",1,8.28,53.41,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
13,"Germany",1,8.33,53.51,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
14,"Germany",1,8.33,53.53,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
15,"Germany",1,8.28,53.54,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
16,"Germany",1,8.35,53.54,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
17,"Germany",1,8.3,53.6,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
18,"Germany",1,8.37,53.58,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
19,"Germany",1,8.44,53.45,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
20,"Germany",1,8.47,53.53,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
21,"Germany",1,8.45,53.38,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
22,"Germany",1,10.7,52.07,"Lemnetum gibbae","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
23,"Germany",1,10.96,52.95,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
24,"Germany",1,10.96,52.96,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
25,"Germany",1,10.97,52.97,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
26,"Germany",1,7.59,53.07,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
27,"Germany",1,7.59,53.08,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
28,"Germany",1,9.98,53.2,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
29,"Germany",1,8.6,53.54,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
30,"Germany",1,9.85,52.15,"Lemnetum gibbae","Germany Vegetweb 2",654,"N_Dunes","N_COAST"
31,"Germany",1,8.24,51.66,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
32,"Germany",1,9.08,52.51,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
33,"Germany",1,11.17,52.95,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
34,"Germany",1,11.18,52.98,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
35,"Germany",1,11.08,52.94,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
36,"Germany",1,8.5,53.91,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","ATL_COAST"
37,"Germany",1,7.5,52.67,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
38,"Germany",1,9.77,52.9,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
39,"Germany",1,8.7,52.54,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
40,"Germany",1,8.46,52.88,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
41,"Germany",1,8.46,52.88,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
42,"Germany",1,8.46,52.88,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
43,"Germany",1,8.81,53.16,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
44,"Germany",1,8.84,52.98,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
45,"Germany",1,8.46,52.88,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
46,"Germany",1,8.24,52.36,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
47,"Germany",1,11.18,52.9,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
48,"Germany",1,10.89,52.89,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
49,"Germany",1,11.3,53.03,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
51,"Germany",1,6.62,51.45,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
52,"Germany",1,7.2,51.62,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
53,"Germany",1,6.62,51.45,"Lemnetum gibbae","Germany Vegetweb 2",664,"N_Dunes","N_COAST"
