Table number,Releve number,ReleveID.1,COMM_TYPE
1,358,358,Faureo-Ilicetum xymaletosum wet variant
2,359,359,Faureo-Ilicetum xymaletosum wet variant
3,360,360,Faureo-Ilicetum xymaletosum wet variant
4,361,361,Faureo-Ilicetum xymaletosum wet variant
5,362,362,Faureo-Ilicetum xymaletosum wet variant
6,363,363,Faureo-Ilicetum xymaletosum wet variant
7,364,364,Faureo-Ilicetum xymaletosum wet variant
8,365,365,Faureo-Ilicetum xymaletosum wet variant
9,366,366,Faureo-Ilicetum xymaletosum wet variant
10,367,367,Faureo-Ilicetum xymaletosum wet variant
11,368,368,Faureo-Ilicetum xymaletosum wet variant
12,369,369,Faureo-Ilicetum xymaletosum wet variant
13,370,370,Faureo-Ilicetum xymaletosum wet variant
14,371,371,Faureo-Ilicetum xymaletosum wet variant
15,372,372,Faureo-Ilicetum xymaletosum wet variant
16,373,373,Faureo-Ilicetum xymaletosum wet variant
17,374,374,Faureo-Ilicetum xymaletosum wet variant
18,375,375,Faureo-Ilicetum xymaletosum wet variant
19,376,376,Faureo-Ilicetum xymaletosum wet variant
20,377,377,Faureo-Ilicetum xymaletosum wet variant
